codregion,cod_comuna,Region,Comuna,Total,Validos,Apruebo,Rechazo,Nulo,Blanco,Validos_per,Apruebo_per,Rechazo_per,Nulo_per,Blanco_per,Electores,Participacion,Participacion_per,Comuna_Servel
10,10208,Los Lagos,Quellón,8657,8549,6745,1804,57,51,0.98752454660968,78.89811673879986,21.10188326120014,0.6584267067113319,0.5891186323206654,22566,8657,0.38363024018434816,QUELLON
10,10207,Los Lagos,Queilén,1494,1488,1320,168,2,4,0.9959839357429718,88.70967741935483,11.29032258064516,0.13386880856760375,0.2677376171352075,6041,1494,0.24731004800529713,QUEILEN
10,10206,Los Lagos,Puqueldón,1194,1181,1051,130,6,7,0.9891122278056952,88.99237933954277,11.00762066045724,0.5025125628140703,0.5862646566164154,4347,1194,0.274672187715666,PUQUELDON
10,10205,Los Lagos,Dalcahue,4012,3978,3344,634,22,12,0.9915254237288136,84.0623428858723,15.9376571141277,0.5483549351944167,0.29910269192422734,12332,4012,0.32533246837495944,DALCAHUE
10,10204,Los Lagos,Curaco de Vélez,1315,1303,1091,212,8,4,0.990874524714829,83.7298541826554,16.270145817344588,0.6083650190114068,0.3041825095057034,3714,1315,0.3540656973613355,CURACO DE VELEZ
10,10203,Los Lagos,Chonchi,3638,3606,3081,525,17,15,0.9912039582188016,85.44093178036606,14.559068219633945,0.46728971962616817,0.4123144584936778,12960,3638,0.2807098765432099,CHONCHI
10,10202,Los Lagos,Ancud,14364,14259,11694,2565,71,34,0.9926900584795322,82.01136124552913,17.98863875447086,0.49429128376496795,0.23670286828181564,38601,14364,0.37211471205409186,ANCUD
10,10201,Los Lagos,Castro,16669,16580,13750,2830,50,39,0.9946607474953506,82.93124246079614,17.06875753920386,0.2999580058791769,0.23396724458575802,41089,16669,0.40568035240575334,CASTRO
10,10109,Los Lagos,Puerto Varas,21854,21739,14005,7734,64,51,0.9947378054360758,64.42338654031924,35.57661345968076,0.2928525670357829,0.23336688935663952,41030,21854,0.5326346575676334,PUERTO VARAS
10,10108,Los Lagos,Maullín,5095,5051,3418,1633,30,14,0.9913640824337586,67.66976836270045,32.33023163729955,0.5888125613346418,0.2747791952894995,15355,5095,0.3318137414522957,MAULLIN
10,10107,Los Lagos,Llanquihue,7826,7759,5682,2077,39,28,0.9914387937643752,73.23108648021652,26.768913519783478,0.4983388704318937,0.35778175313059035,16021,7826,0.48848386492728296,LLANQUIHUE
10,10106,Los Lagos,Los Muermos,5116,5064,2780,2284,23,29,0.9898358092259578,54.897314375987364,45.102685624012636,0.44956997654417513,0.5668491008600469,16238,5116,0.315063431457076,LOS MUERMOS
10,10105,Los Lagos,Frutillar,7908,7859,5185,2674,36,13,0.9938037430450177,65.97531492556304,34.02468507443695,0.4552352048558422,0.16439049064238745,16376,7908,0.48290180752320466,FRUTILLAR
